RowNumber,CreditScore,Age,Tenure,Balance,NumOfProducts,EstimatedSalary,Surname,Geography,Gender,HasCrCard,IsActiveMember,y
3523,659,38,9,0.0,2,132809.18,Rudduck,France,Female,1,1,1
181,850,45,2,122311.21,1,19482.5,Rozier,Spain,Female,1,1,1
2116,404,54,4,125456.07,1,83715.66,Pirozzi,Germany,Female,1,0,0
1700,696,31,8,122021.92,2,33828.64,Colombo,Germany,Female,1,0,1
1380,668,32,10,92041.87,1,43595.9,Romani,Germany,Female,1,1,1
7230,716,29,6,0.0,2,98998.61,Ritchie,France,Female,1,1,1
9144,676,34,8,100359.54,1,46038.28,Bailey,France,Female,0,0,1
619,546,42,7,139070.51,1,86945.0,Loggia,Spain,Male,1,1,1
3182,575,37,9,133292.45,1,111175.09,Howells,Spain,Female,1,0,1
9852,671,28,8,119859.52,2,125422.66,Degtyaryov,Germany,Male,1,0,1
1601,517,28,2,115062.61,1,179056.23,Gordon,France,Male,1,0,1
5964,850,40,7,104449.8,1,747.88,Onuora,Germany,Female,1,1,1
1616,685,21,6,97956.5,1,164966.27,Spitzer,Germany,Female,1,1,1
5921,698,36,6,0.0,2,19231.98,Howe,France,Male,0,1,1
9592,708,40,8,83015.71,1,101089.76,Fokina,Spain,Male,1,0,1
3892,723,28,5,91938.31,1,143481.85,Sung,Germany,Female,1,0,1
2084,534,24,1,0.0,1,169653.32,Buccho,France,Male,1,1,1
4575,659,32,9,0.0,2,93155.75,Preston,France,Female,1,1,1
5595,688,40,6,0.0,1,47886.44,Freeman,France,Male,1,1,1
5122,677,35,0,0.0,2,76637.38,Hsiung,Spain,Female,0,0,1
4588,500,34,6,0.0,1,140268.45,Osonduagwuike,France,Female,1,1,1
4903,652,30,2,176166.56,2,152210.81,Kung,France,Male,1,1,1
8253,744,56,9,0.0,2,169498.61,Bruno,France,Male,1,1,1
5917,633,39,2,0.0,2,191207.03,Brown,Spain,Female,0,0,1
5130,588,42,2,164307.77,1,48498.19,Hicks,Germany,Female,1,0,1
8335,705,37,10,0.0,2,13935.53,Marshall-Hall,France,Female,1,1,0
1919,768,28,3,109118.05,2,50911.41,Kodilinyechukwu,France,Female,0,1,1
8331,815,38,2,48387.0,1,184796.84,Anayochukwu,Spain,Female,1,0,1
5708,746,25,9,0.0,2,88728.47,Yates,France,Male,0,1,1
5385,727,28,1,0.0,1,40357.39,Ellis,Spain,Male,1,0,1
6337,536,35,4,121520.36,1,77178.42,Rapuluolisa,Germany,Female,0,0,1
2055,747,41,5,0.0,2,22750.17,Marshall,France,Male,1,1,1
7613,678,28,5,138668.18,1,54144.01,Howell,Spain,Male,1,1,1
9210,560,24,1,116084.32,1,89734.7,Chiang,France,Male,1,0,1
3964,607,31,8,0.0,2,43196.5,Chuang,France,Male,1,1,1
1127,663,33,8,122528.18,1,196260.3,Wilkie,Spain,Female,1,0,1
3429,641,35,4,0.0,2,125986.18,Wan,France,Female,0,0,1
4602,642,30,8,134497.27,1,43250.54,Shaw,Germany,Male,0,0,1
3722,731,41,9,152243.57,1,88783.59,Williamson,France,Female,1,1,1
2390,655,35,1,82231.51,2,88798.02,Ts'ai,Spain,Female,1,0,1
1323,700,44,2,58781.76,1,16874.92,Shahan,France,Female,1,0,1
1604,576,36,8,166287.85,1,23305.85,Tu,Germany,Female,1,1,1
7225,751,34,8,127095.14,2,479.54,Chieloka,Spain,Female,0,0,1
7426,552,33,3,144962.74,1,58844.84,Chidumaga,Germany,Male,1,0,0
4337,580,38,9,115442.19,2,128481.5,Boyle,Germany,Male,1,0,0
5594,617,50,7,0.0,1,184839.7,Fyans,Spain,Male,1,0,0
4412,657,42,5,41473.33,1,112979.6,Osborne,Spain,Male,1,0,0
5859,570,30,10,176173.52,1,97045.32,Bray,France,Female,1,0,0
9344,845,43,3,152063.59,2,97910.06,Davidson,Germany,Female,1,0,1
3992,496,59,7,91680.1,2,163141.18,Fiorentino,Germany,Female,1,0,0
6080,609,31,9,103837.75,1,150218.11,Gorshkov,Germany,Male,1,1,1
1560,760,42,0,77992.97,2,97906.38,He,Germany,Male,1,1,1
4683,809,24,7,109558.36,1,183515.13,Izuchukwu,France,Male,1,0,1
7558,426,34,9,0.0,2,107876.91,Chin,France,Male,1,0,1
3773,745,34,7,132944.53,1,31802.92,Johnson,Spain,Male,1,1,1
8780,701,34,3,105588.66,1,74694.41,Grigoryeva,France,Female,0,1,1
3458,657,36,8,188241.05,2,183058.51,Hunter,Spain,Male,0,0,0
8384,493,36,5,148667.81,2,56092.51,Graham,France,Female,1,0,1
1355,611,52,7,0.0,1,73585.18,Lombardi,Spain,Male,0,1,0
46,776,32,4,109421.13,2,126517.46,Tyler,Germany,Female,1,1,1
9873,588,37,2,0.0,2,187816.59,Young,Spain,Male,0,1,1
749,727,38,2,62276.99,1,59280.79,Martin,Spain,Male,1,1,1
7918,613,38,9,126265.88,2,15859.95,Nwachukwu,Germany,Male,0,0,1
4242,793,63,0,0.0,2,27166.75,McDonald,Spain,Male,0,1,1
5629,681,44,3,105206.7,2,163558.36,Calabrese,Germany,Female,1,1,1
4658,687,48,4,0.0,2,170893.85,McKay,France,Male,1,1,1
4239,655,39,6,94631.26,2,148948.52,Uspensky,France,Female,1,1,1
3461,470,39,5,117469.91,2,63705.9,Enticknap,Germany,Male,0,0,1
7382,620,25,8,141825.88,1,73857.94,Nwora,Germany,Female,1,1,0
5550,779,33,3,0.0,2,30804.68,De Luca,Spain,Male,1,0,1
7076,778,34,7,109564.1,1,113046.81,Warner,France,Female,0,1,1
5839,669,51,3,88827.53,1,85250.77,Whitelegge,Spain,Male,0,0,0
8092,768,29,2,95984.69,2,73686.75,Eluemuno,France,Male,1,1,1
5475,651,34,9,0.0,2,138113.71,Hs?,France,Female,1,0,1
3615,558,36,0,126606.63,2,172363.52,Summerville,Germany,Female,1,1,1
7502,681,58,8,93173.88,1,139761.25,Baird,France,Female,1,1,1
7054,755,43,6,165048.5,3,16929.41,Ritchie,Germany,Male,1,0,0
7368,606,42,10,0.0,2,177938.52,Korovin,Spain,Male,1,0,1
8020,683,73,8,137732.23,2,133210.44,North,France,Female,1,1,1
9639,744,50,1,121498.11,2,106061.47,Baldwin,Germany,Female,0,1,0
9056,630,55,2,0.0,1,106202.07,Chinwenma,France,Male,1,1,0
665,661,41,1,0.0,2,131300.68,Akeroyd,France,Female,0,1,1
2320,636,37,9,157098.52,1,153535.27,Sun,Germany,Female,1,1,1
3543,692,34,4,109699.08,1,37898.91,Blackburn,Spain,Female,1,1,1
3678,631,33,2,0.0,2,158268.84,Wright,Spain,Male,1,1,1
9600,749,32,7,79523.13,1,157648.12,Yudina,Germany,Female,0,1,1
3092,656,37,2,0.0,2,67840.81,Hu,France,Male,0,1,1
676,563,39,5,0.0,2,17603.81,Jarvis,France,Female,1,1,1
8677,582,41,1,40488.76,1,128528.83,Muravyova,France,Male,1,0,1
4885,678,49,2,116933.11,1,195053.58,Pisano,Germany,Male,1,0,0
8080,643,37,6,0.0,2,142454.77,Rossi,France,Male,0,0,1
1963,358,52,8,143542.36,3,141959.11,Aikenhead,Spain,Female,1,0,0
1841,464,34,5,76001.57,1,158668.87,Amaechi,Spain,Female,1,1,1
7169,507,33,7,0.0,2,85411.01,Ruiz,France,Male,1,1,1
9899,589,38,4,0.0,1,95483.48,Tsui,France,Male,1,0,0
3539,554,43,2,120847.11,1,7611.61,Murphy,Germany,Female,1,0,0
8027,607,33,8,91301.72,1,130824.57,Genovesi,France,Female,0,1,1
4867,522,37,3,95022.57,1,129107.59,Obialo,Germany,Female,1,1,1
4175,568,51,4,0.0,3,66586.56,Forbes,France,Male,1,1,1
8089,541,39,9,100116.67,1,199808.1,Hopkins,Germany,Female,1,1,0
4378,719,37,9,101455.7,1,25803.59,Snider,France,Female,1,0,0
6212,502,40,7,117304.29,1,196278.32,Beneventi,Germany,Female,0,0,1
4767,659,38,9,0.0,2,35701.06,Chao,Spain,Female,1,1,1
412,850,38,1,0.0,2,80006.65,Pino,France,Male,1,1,1
614,667,38,1,87202.38,1,77866.91,Lynton,Spain,Male,1,1,1
6127,535,29,5,0.0,2,52709.55,Johnson,France,Female,0,1,1
5211,551,35,7,129717.3,2,86937.2,Pisano,France,Male,0,0,1
1431,820,29,3,82344.84,1,115985.38,Tuan,France,Female,0,1,1
2426,684,39,4,139723.9,1,120612.11,Gibson,Spain,Female,1,1,1
8842,557,36,1,113110.26,1,98413.1,Fallaci,Spain,Male,1,0,1
3834,609,38,6,140752.06,2,171430.16,Kuo,Germany,Male,0,1,1
4719,505,26,8,112972.57,1,145011.62,Rivera,France,Male,1,0,1
7186,777,44,3,124655.59,2,79792.3,Nekrasov,Germany,Male,0,1,1
1418,607,24,2,109483.54,2,127560.77,Mitchell,Germany,Female,0,1,1
7200,649,32,7,0.0,1,28797.32,May,Spain,Female,1,0,1
605,702,37,10,150525.8,1,94728.49,Chadwick,France,Male,1,1,1
1273,585,39,7,165610.41,2,131852.01,Marshall,Germany,Female,0,0,1
3965,476,37,4,0.0,1,55775.84,Sabbatini,France,Male,1,1,0
6368,536,41,9,0.0,1,121299.14,Parkes,France,Female,1,0,1
8747,660,34,8,106486.66,2,182262.66,Hammond,France,Male,0,1,1
248,545,26,1,0.0,2,199638.56,Dimauro,France,Female,1,1,1
9227,586,27,5,130231.8,2,192427.16,Davidson,France,Male,1,1,1
1983,667,28,6,165798.1,1,147090.9,Phillips,France,Male,1,0,1
2836,653,35,6,116662.96,2,23864.21,Kosisochukwu,Spain,Male,1,1,1
5376,686,38,7,111484.88,1,76076.2,Yang,Spain,Male,1,1,1
200,521,35,6,96423.84,1,10488.44,Volkov,France,Male,1,0,1
486,730,35,0,155470.55,1,53718.28,Lewis,France,Female,1,1,1
6084,519,38,1,114141.64,1,60988.21,Morgan,Germany,Male,1,1,0
8957,728,42,8,0.0,2,41823.22,Wright,Spain,Male,0,1,1
456,506,36,5,0.0,2,164253.35,Sal,France,Male,1,0,1
9799,600,30,2,119755.0,1,21852.91,Robinson,Germany,Male,1,1,1
8827,412,29,5,0.0,2,12510.53,Ikemefuna,France,Male,0,0,1
6516,803,65,2,151659.52,2,6930.17,Pan,France,Female,0,1,1
1722,585,39,7,0.0,2,2401.26,Jensen,France,Female,1,0,1
7051,591,29,6,0.0,2,108684.65,Schiavone,France,Male,1,1,1
6383,797,24,5,0.0,2,182257.61,Gardner,France,Male,1,0,1
8166,606,37,8,154712.58,2,89099.18,Pickering,Spain,Male,1,0,1
5768,579,45,2,0.0,2,11514.39,Olisanugo,France,Female,0,0,1
5810,850,32,4,0.0,1,180622.02,Hartung,France,Male,1,1,1
4627,506,32,3,0.0,1,80823.02,Golubova,France,Female,1,1,1
863,725,41,7,113980.21,1,116704.25,Pirogov,France,Male,1,1,1
2095,531,70,1,0.0,2,99503.19,Kapustina,Spain,Male,0,0,1
948,715,38,5,118590.41,1,5684.17,Ejimofor,France,Female,1,1,0
5642,675,42,2,92616.64,2,8567.18,Learmonth,Germany,Male,1,0,1
1445,583,38,10,0.0,2,113597.64,Okeke,France,Female,0,1,1
1281,741,25,4,0.0,2,73873.65,H?,Spain,Male,1,1,1
3111,546,74,8,114888.74,2,66732.63,Chung,Germany,Female,1,1,0
8953,565,47,10,139756.12,1,165849.49,Gibson,Germany,Female,1,0,0
7610,681,46,0,105969.42,1,5771.56,Vassiliev,France,Male,1,0,1
5136,518,40,4,0.0,2,194416.58,Vasilyev,France,Male,0,1,1
3017,797,32,10,114084.6,1,125782.29,Madison,France,Male,0,1,1
2303,723,49,4,0.0,2,89972.25,H?,France,Female,0,1,1
2005,684,29,8,127269.75,1,79495.01,Ugochukwu,Germany,Male,0,1,1
4581,478,32,6,71187.24,1,110593.62,Johnstone,France,Female,1,1,1
8705,784,42,2,109052.04,2,6409.55,Moss,Spain,Female,1,0,1
1006,521,52,5,116497.31,3,53793.1,Ayers,Germany,Male,0,0,0
5139,850,34,6,0.0,1,52796.31,Capon,France,Male,0,1,1
4318,492,28,9,0.0,2,95957.09,Metcalf,France,Female,1,0,1
6559,686,38,0,138131.34,1,115927.85,Romilly,France,Male,0,1,1
4388,732,67,1,0.0,2,177783.04,Isayeva,Spain,Female,1,1,1
2133,609,43,6,86053.52,2,113276.46,Chia,Spain,Female,1,1,0
4266,709,32,4,147307.91,1,40861.55,Reed,France,Male,0,1,1
2058,743,32,9,0.0,2,175252.78,Chukwualuka,France,Male,1,0,1
5387,642,48,9,118317.27,4,78702.98,Gardiner,France,Male,0,0,0
230,594,29,3,130830.22,1,61048.53,Lucas,Germany,Female,1,0,1
2890,594,31,9,0.0,1,5719.11,Nebechukwu,France,Female,0,1,1
4473,660,23,6,166070.48,2,90494.72,Tobenna,Germany,Female,0,0,1
6065,772,23,2,0.0,2,18364.19,Tung,France,Male,1,0,1
7925,833,47,2,0.0,2,182247.77,Gallo,France,Male,1,1,1
7650,715,31,3,110581.29,1,94715.24,Wu,France,Female,1,1,1
8382,550,36,2,113877.23,2,174921.91,Reilly,Germany,Male,1,0,1
210,671,45,2,106376.85,1,158264.62,Dike,France,Male,0,1,1
2759,624,36,6,0.0,2,84635.64,Ingram,France,Male,0,0,1
8472,525,51,10,0.0,3,171045.35,Somadina,France,Male,1,0,0
2949,620,29,1,138740.24,2,154700.61,Ts'ui,France,Female,0,0,1
7117,588,49,6,132623.76,3,36292.94,Landor,Germany,Male,1,0,0
6331,744,39,6,0.0,1,10662.58,Peel,France,Female,0,0,1
1729,758,40,5,93499.82,2,123218.81,Leonard,Spain,Female,0,0,1
4177,754,39,8,129401.87,1,87684.93,Kramer,Germany,Female,1,1,1
338,649,33,2,0.0,2,2010.98,Kennedy,France,Male,1,0,1
4985,553,31,4,0.0,2,89087.4,Esomchi,France,Female,1,1,1
6879,651,35,0,181821.96,2,36923.67,Iroawuchi,France,Male,0,1,0
7249,605,57,2,0.0,3,66652.75,Loggia,Spain,Female,1,0,0
8453,744,46,1,0.0,3,177431.59,Tien,Spain,Female,1,1,0
1227,531,42,6,88324.31,2,75248.75,Bergamaschi,Germany,Female,1,0,1
7609,695,31,5,0.0,2,13998.88,Uwakwe,Spain,Female,0,1,1
6828,718,49,10,0.0,1,184474.72,Pokrovskaya,France,Female,1,0,0
3541,672,43,5,0.0,1,63833.09,Crawford,France,Male,0,0,1
5869,713,46,5,0.0,1,55701.62,Y?an,France,Male,1,1,1
2112,642,25,7,0.0,2,102083.78,Simpson,France,Male,1,0,1
